# Renewables.ninja Weather (Point API) - 52.529, 13.389 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, temperature in ºC, radiation_surface in W/m², cloud_cover in fraction
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2", "cloud_cover": "fraction"}, "params": {"local_time": true, "header": true, "lat": "52.529118575411516", "lon": "13.388663462420578", "date_from": "2018-01-01", "date_to": "2018-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": true}}
time,local_time,temperature,radiation_surface,cloud_cover
2018-01-01 00:00,2018-01-01 01:00,7.835,0,0.995
2018-01-01 01:00,2018-01-01 02:00,7.578,0,0.994
2018-01-01 02:00,2018-01-01 03:00,7.426,0,0.994
2018-01-01 03:00,2018-01-01 04:00,7.418,0,0.950
2018-01-01 04:00,2018-01-01 05:00,7.529,0,0.759
2018-01-01 05:00,2018-01-01 06:00,7.129,0,0.378
2018-01-01 06:00,2018-01-01 07:00,6.623,0,0.018
2018-01-01 07:00,2018-01-01 08:00,6.121,13.126,0.021
2018-01-01 08:00,2018-01-01 09:00,6.576,91.225,0.083
2018-01-01 09:00,2018-01-01 10:00,7.366,162.939,0.096
2018-01-01 10:00,2018-01-01 11:00,7.902,181.197,0.314
2018-01-01 11:00,2018-01-01 12:00,8.038,153.510,0.274
2018-01-01 12:00,2018-01-01 13:00,7.946,145.703,0.153
2018-01-01 13:00,2018-01-01 14:00,7.373,94.433,0.233
2018-01-01 14:00,2018-01-01 15:00,6.176,20.088,0.300
2018-01-01 15:00,2018-01-01 16:00,4.653,0,0.223
2018-01-01 16:00,2018-01-01 17:00,3.480,0,0.141
2018-01-01 17:00,2018-01-01 18:00,2.746,0,0.062
2018-01-01 18:00,2018-01-01 19:00,2.238,0,0.100
2018-01-01 19:00,2018-01-01 20:00,1.871,0,0.224
2018-01-01 20:00,2018-01-01 21:00,1.633,0,0.552
2018-01-01 21:00,2018-01-01 22:00,1.473,0,0.962
2018-01-01 22:00,2018-01-01 23:00,1.659,0,0.986
2018-01-01 23:00,2018-01-02 00:00,1.680,0,0.977
2018-01-02 00:00,2018-01-02 01:00,1.535,0,0.974
2018-01-02 01:00,2018-01-02 02:00,1.441,0,0.978
2018-01-02 02:00,2018-01-02 03:00,1.484,0,0.982
2018-01-02 03:00,2018-01-02 04:00,1.464,0,0.982
2018-01-02 04:00,2018-01-02 05:00,1.587,0,0.985
2018-01-02 05:00,2018-01-02 06:00,1.711,0,0.988
2018-01-02 06:00,2018-01-02 07:00,1.684,0,0.989
